event_state,event_city
NJ,Bordentown
NJ,Titusville
NJ,Titusville
NJ,Chesterfield 
NJ,Lawrence Township
NJ,Lawrence Township
PA,Newtown
NJ,Skillman
NJ,Skillman
NJ,Robbinsville Twp
PA,Langhorne
NJ,Hamilton
PA,Levittown 
NJ,Bordentown
PA,Newtown
NJ,Hamilton Township
NJ,Princeton
PA,Fairless Hills
PA,Yardley
NJ,Trenton
PA,Langhorne
PA,Yardley
NJ,Hoboken
NJ,Hoboken
NE,Jersey City
NJ,Hoboken 
NJ,Newark
NJ,West Orange
NJ,Hoboken
NY,New York
NY,New York
NY,New York
NJ,West Orange
NJ,West Orange
NJ,Jersey City
NY,New York
NY,New York
NY,New York
NY,New York
NY,Brooklyn
NY,New York
NY,New York
NY,Brooklyn
NY,New York
NY,New York
NY,New York
NY,New York
NY,New York
NY,New York
NY,New York
NY,New York
NJ,Maplewood
NY,New York
NY,Manhattan
NY,New York
NJ,Union
NY,Brooklyn
NJ,Jersey City
NJ,West Orange
NJ,West Orange
NY,New York
NY,New York
NY,New York
NJ,Teaneck
NY,New York
NY,New York
NY,New York
NY,New York
NY,New York 
NY,New York
NY,Manhattan
NY,New York
NY,New York
NY,Brooklyn
NY,Brooklyn
NY,New York
NJ,North Bergen
NY,Manhattan
NY,TBA
NY,New York
NY,New York
NY,New York
NY,Brooklyn
NJ,Lyndhurst
NY,Brooklyn
NY,New York
NY,Brooklyn 
NY,Brooklyn 
NY,New York
NJ,Fairview
NY,New York
NY,Brooklyn
NY,Queens
NY,New York
NE,New York
NJ,Jersey City
NE,Brooklyn
NY,New York 
NY,New York
NY,Brooklyn
NY,New York
NY,10012
NY,New York
NJ,Lodi
NJ,Lodi
NJ,West Orange
NJ,Paramus
NJ,Teaneck
NJ,Columbia
NJ,Caldwell
NJ,Ridgewood
NJ,Fairfield
NJ,Paramus
NJ,Clifton
NJ,Garfield
NJ,Teaneck
NJ,Fairfield
NJ,Fairfield
NJ,Hackensack
NJ,Fair Lawn
