event_lat,event_lng,address
40.309223,-74.846391,"""355 Washington Crossing Pennington Rd.,Titusville,NJ"""
40.140632,-74.6292,"""410 Ellisdale Road,Chesterfield ,NJ"""
40.29554,-74.72037,"""4 Princess Rd,Lawrence Township,NJ"""
40.29554,-74.72037,"""4 Princess Rd,Lawrence Township,NJ"""
40.232371,-74.9325368,"""25 N. Chancellor St. ,Newtown,PA"""
40.416608,-74.659244,"""88 Orchard Road, Princeton Area,Skillman,NJ"""
40.416608,-74.659244,"""88 Orchard Road, Princeton Area,Skillman,NJ"""
40.21696,-74.871492,"""Cardinal Dr,Morrisville,PA"""
40.203775,-74.852094,"""1305 Big Oak Rd,Yardley,PA"""
40.245664,-74.8459972,"""56 South Main Street,Yardley,PA"""
40.2187112,-74.6278586,"""N Commerce Square,Robbinsville Twp,NJ"""
40.2553663,-74.7040312,"""hamilton nj,hamilton,NJ"""
26.66667,85.5,"""Lib - 2751 Brunswick Pike at Darrah Ln Church - Rt 206 at Meadowbrook Ave,Lawrence Township,NJ"""
40.189204,-74.86777,"""400 N Oxford Valley Rd, Langhorne, PA 19047,Bucks County,PA"""
40.2764189,-74.7061019,"""2751 Brunswick Pike,Lawrenceville,NJ"""
40.235287,-74.9428313,"""3 West Road,Newtown,PA"""
40.203881,-74.89768,"""301 E. Maple Ave,Langhorne,PA"""
40.1574174,-74.8322245,"""7311 New Falls Rd,Levittown,PA"""
40.1574174,-74.8322245,"""4354 New Falls Road,Levittown ,PA"""
40.143566,-74.707891,"""18 E. Union Street ,Bordentown,NJ"""
40.231052,-74.936579,"""126 N. State St.,Newtown,PA"""
40.208655,-74.032183,"""80 Sculptors Way,Hamilton Township,NJ"""
40.3484418,-74.6638321,"""500 Mercer St ,Princeton,NJ"""
40.133675,-74.885545,"""4010 New Falls Rd,Bristol,PA"""
40.261702,-74.872269,"""26 Delaware Rim Dr,Morrisville,PA"""
41.690349,-78.657339,"""980 Trenton Rd,Fairless Hills,PA"""
40.29554,-74.72037,"""2000 Lenox Drive ,Lawrence Township,NJ"""
40.24454,-74.83671,"""82 East Afton Avenue,Yardley,PA"""
40.83636,-75.701258,"""108 Corporate Dr,Langhorne,PA"""
40.848217,-75.707393,"""1262 Wood Lane  Ste 106/107,Langhorne,PA"""
40.24454,-74.83671,"""82 E Afton Ave,Yardley,PA"""
40.7433066,-74.0323752,"""901 Park Ave,Hoboken,NJ"""
40.7433066,-74.0323752,"""901 Park Ave,Hoboken,NJ"""
40.7127281,-74.0060152,"""55 Church St,New York,NY"""
40.740752,-74.168407,"""14 Rector Street,Newark,NJ"""
40.735845,-74.00596,"""  569 Hudson St,New York,NY"""
40.709686,-74.011674,"""Your Guide will meet you when you get out from the train at Poughkeepsie,New York,NY"""
42.7353928,-73.7132298,"""27 W 24th St Suite 800B,New York,NY"""
40.857977,-73.930904,"""Broadway Entrance at 34th/35th,New York,NY"""
40.8033942,-74.2382416,"""Crest Dr,West Orange,NJ"""
40.71979,-74.038622,"""107 Morgan St,Jersey City,NJ"""
40.6667697,-74.1154202,"""1075 Broadway,Bayonne,NJ"""
40.7987113,-74.2390353,"""253 Main St,West Orange,NJ"""
40.7987113,-74.2390353,"""253 Main St,West Orange,NJ"""
40.766684,-73.996493,"""742 10th Ave (between 50 and 51 Sts.,New York,NY"""
40.731729,-74.245658,"""64 Cherry Ln,Maplewood,NJ"""
40.8094,-74.1245,"""420 Valley Brook Avenue, Lyndhurst 07071,Lyndhurst,NJ"""
40.8164458,-74.2210643,"""127 Valley Road,Montclair,NJ"""
40.73149,-74.28293,"""2933 Vauxhall Road,Vauxhall,NJ"""
40.7127281,-74.0060152,"""191 Canal St,New York,NY"""
40.7127281,-74.0060152,"""..,New York,NY"""
40.7468832,-73.9928245,"""150 W 28th St suite 1101 b,New York,NY"""
40.746583,-73.991653,"""150W W 28th St,New York,NY"""
40.704804,-74.010394,"""10 South William St,New York,NY"""
40.799948,-73.95119,"""link in description of event,New York,NY"""
42.7245634,-73.7009225,"""51 W 14th St #3r,New York,NY"""
39.6378952,-74.6987704,"""89 Mount Pleasant Road,Columbia,NJ"""
40.790722,-74.058921,"""151 Front St,Secaucus,NJ"""
40.7127281,-74.0060152,"""626 10th Ave,New York,NY"""
40.867384,-73.926406,"""See Description Box for,New York,NY"""
40.7587979,-73.9623427,"""26 1st Avenue,New York,NY"""
42.984183,-77.408627,"""Web-Based Remote Event,New York,NY"""
40.715182,-74.011198,"""275 Greenwich Street,New York,NY"""
40.729907,-74.000629,"""119 MacDougal Street,New York,NY"""
40.749195,-73.991868,"""89 7th Ave,New York,NY"""
40.747905,-73.986995,"""38 West 32nd Street,New York,NY"""
42.984183,-77.408627,"""Web-Based Remote Event,New York,NY"""
40.753521,-73.990215,"""247 W 37th St,New York,NY"""
40.7477867,-73.9874231,"""38 W 32nd St. #1212,New York,NY"""
40.7681633,-73.9869246,"""422 W 57th St (entrance to the right of Trinity Church),New York,NY"""
40.71704,-74.03389,"""143 Christopher Columbus Dr,Jersey City,NJ"""
40.8338301,-74.2727494,"""326 Bloomfield Ave,Caldwell,NJ"""
40.746303,-73.981473,"""111 East 33rd St.,New York,NY"""
40.760115,-73.994114,"""484 W 43rd St,New York,NY"""
40.869398,-74.168913,"""709 Van Houten Ave,Clifton,NJ"""
40.580849,-74.00397,"""320 West 37th Street,Brooklyn,NY"""
40.714269,-74.005973,"""Cyberspace,New York,NY"""
40.754842,-73.984118,"""1095 Sixth Ave ,New York,NY"""
40.7127281,-74.0060152,"""New York,New York,NY"""
40.7615795,-73.9905641,"""627 9th Avenue,New York,NY"""
40.7615795,-73.9905641,"""627 9th Ave,New York,NY"""
40.730753,-74.2826,"""600 Ridgewood Rd,Maplewood,NJ"""
42.81143,-76.879806,"""Virtual Online Meeting,New York,NY"""
40.77427,-73.96981,"""425 Avenue of the Americas (Sixth Avenue and 10th Street,Manhattan,NY"""
40.7134054,-74.012074,"""250 Greenwich St Floor 46,New York,NY"""
