Unnamed: 0,state,city,category,event_name,group_name,attendees,lat,lng,population,venue_event_link,event_state,event_city,event_street,Google_Map_Link,city_event_lat,city_event_lng
0,NJ,Trenton,Outdoors & Adventure,Winter Hike At Crystal Lake,DelawareRiverHikers,14,40.2236,-74.7641,290716,https://www.meetup.com/delawareriverhikers/events/275827416,NJ,Bordentown,2401 Axe Factory Rd,https://www.google.com/maps/search/?api=1&query=40.117200%2C-74.739640,40.1462213,-74.7118264
1,NJ,Trenton,Outdoors & Adventure,THURSDAY AFTERNOON AEROBIC HIKE ,Washington Crossing Park Association of NJ,8,40.2236,-74.7641,290716,https://www.meetup.com/washingtoncrossingstatepark/events/275752986,NJ,Titusville,355 Washington Crossing Pennington Rd.,https://www.google.com/maps/search/?api=1&query=40.313763%2C-74.862940,40.3095516,-74.8804428
2,NJ,Trenton,Outdoors & Adventure,Scenic Overlook Pokadot Chicken Hike at Baldpate Mt,Hiking Around Philly,14,40.2236,-74.7641,290716,https://www.meetup.com/HikingAroundPhilly/events/275829756,NJ,Titusville,180 Pleasant Valley Rd ,https://www.google.com/maps/search/?api=1&query=40.332250%2C-74.869000,40.3095516,-74.8804428
3,NJ,Trenton,Tech,Fly-In at Ellisdale Fields,NJ Drone User Group,1,40.2236,-74.7641,290716,https://www.meetup.com/NJ-Dug/events/275376752,NJ,Chesterfield ,410 Ellisdale Road,https://www.google.com/maps/search/?api=1&query=40.145590%2C-74.635340,40.1153966,-74.6412727
4,NJ,Trenton,Health & Wellness,Lifeback's Helping Families Affected By Addiction,Lifeback's Helping Families Affected By Addiction,1,40.2236,-74.7641,290716,https://www.meetup.com/Lifebacks-Helping-Families-Affected-By-Addiction/events/275896146,NJ,Lawrence Township,4 Princess Rd,https://www.google.com/maps/search/?api=1&query=40.285095%2C-74.709435,40.2999815,-74.7190402
5,NJ,Trenton,Health & Wellness,SMART RECOVERY at LifeBack,S.M.A.R.T. Recovery at LifeBack,1,40.2236,-74.7641,290716,https://www.meetup.com/S-M-A-R-T-Recovery-at-LifeBack/events/275847344,NJ,Lawrence Township,4 Princess Rd,https://www.google.com/maps/search/?api=1&query=40.285095%2C-74.709435,40.2999815,-74.7190402
6,NJ,Trenton,Health & Wellness,Flying Solo Support Group,Flying Solo Support Group,1,40.2236,-74.7641,290716,https://www.meetup.com/meetup-group-uLdxSObt/events/275898501,PA,Newtown,25 N. Chancellor St. ,https://www.google.com/maps/search/?api=1&query=25+N.+Chancellor+St.+%2C+Newtown%2C+PA%2C+18940%2C+us,40.6529454,-76.345043
7,NJ,Trenton,Health & Wellness,New! Online Zoom Yoga classes at Princeton Yoga,Princeton Yoga,1,40.2236,-74.7641,290716,https://www.meetup.com/Princeton-Yoga/events/275876177,NJ,Skillman,"88 Orchard Road, Princeton Area",https://www.google.com/maps/search/?api=1&query=40.346752%2C-74.670860,40.4201055,-74.7146049
8,NJ,Trenton,Health & Wellness,New online Zoom classes at Princeton Yoga!,PrincetonYoga,1,40.2236,-74.7641,290716,https://www.meetup.com/PrincetonYogaCenter/events/275913147,NJ,Skillman,"88 Orchard Road, Princeton Area",https://www.google.com/maps/search/?api=1&query=88+Orchard+Road%2C+Princeton+Area%2C+Skillman%2C+NJ%2C+08540%2C+us,40.4201055,-74.7146049
9,NJ,Trenton,Food & Drink,Walk in Robbinsville - 5K ,League of Extraordinary Individuals,3,40.2236,-74.7641,290716,https://www.meetup.com/League-of-Extraordinary-Individuals/events/275851663,NJ,Robbinsville Twp,N Commerce Square,https://www.google.com/maps/search/?api=1&query=40.219723%2C-74.627129,40.2238253,-74.5892843
