event_state,event_city,event_street,full_address
NJ,Titusville,355 Washington Crossing Pennington Rd.,"355 Washington Crossing Pennington Rd.,Titusville,NJ"
NJ,Chesterfield ,410 Ellisdale Road,"410 Ellisdale Road,Chesterfield ,NJ"
NJ,Lawrence Township,4 Princess Rd,"4 Princess Rd,Lawrence Township,NJ"
NJ,Lawrence Township,4 Princess Rd,"4 Princess Rd,Lawrence Township,NJ"
PA,Newtown,25 N. Chancellor St. ,"25 N. Chancellor St. ,Newtown,PA"
NJ,Skillman,"88 Orchard Road, Princeton Area","88 Orchard Road, Princeton Area,Skillman,NJ"
NJ,Skillman,"88 Orchard Road, Princeton Area","88 Orchard Road, Princeton Area,Skillman,NJ"
PA,Morrisville,Cardinal Dr,"Cardinal Dr,Morrisville,PA"
PA,Yardley,1305 Big Oak Rd,"1305 Big Oak Rd,Yardley,PA"
PA,Yardley,56 South Main Street,"56 South Main Street,Yardley,PA"
NJ,Robbinsville Twp,N Commerce Square,"N Commerce Square,Robbinsville Twp,NJ"
NJ,hamilton,hamilton nj,"hamilton nj,hamilton,NJ"
NJ,Lawrence Township,Lib - 2751 Brunswick Pike at Darrah Ln Church - Rt 206 at Meadowbrook Ave,"Lib - 2751 Brunswick Pike at Darrah Ln Church - Rt 206 at Meadowbrook Ave,Lawrence Township,NJ"
PA,Bucks County,"400 N Oxford Valley Rd, Langhorne, PA 19047","400 N Oxford Valley Rd, Langhorne, PA 19047,Bucks County,PA"
NJ,Lawrenceville,2751 Brunswick Pike,"2751 Brunswick Pike,Lawrenceville,NJ"
PA,Newtown,3 West Road,"3 West Road,Newtown,PA"
PA,Langhorne,301 E. Maple Ave,"301 E. Maple Ave,Langhorne,PA"
PA,Levittown,7311 New Falls Rd,"7311 New Falls Rd,Levittown,PA"
PA,Levittown ,4354 New Falls Road,"4354 New Falls Road,Levittown ,PA"
NJ,Bordentown,18 E. Union Street ,"18 E. Union Street ,Bordentown,NJ"
PA,Newtown,126 N. State St.,"126 N. State St.,Newtown,PA"
NJ,Hamilton Township,80 Sculptors Way,"80 Sculptors Way,Hamilton Township,NJ"
NJ,Princeton,500 Mercer St ,"500 Mercer St ,Princeton,NJ"
PA,Bristol,4010 New Falls Rd,"4010 New Falls Rd,Bristol,PA"
PA,Morrisville,26 Delaware Rim Dr,"26 Delaware Rim Dr,Morrisville,PA"
PA,Fairless Hills,980 Trenton Rd,"980 Trenton Rd,Fairless Hills,PA"
NJ,Lawrence Township,2000 Lenox Drive ,"2000 Lenox Drive ,Lawrence Township,NJ"
PA,Yardley,82 East Afton Avenue,"82 East Afton Avenue,Yardley,PA"
PA,Langhorne,108 Corporate Dr,"108 Corporate Dr,Langhorne,PA"
PA,Langhorne,1262 Wood Lane  Ste 106/107,"1262 Wood Lane  Ste 106/107,Langhorne,PA"
PA,Yardley,82 E Afton Ave,"82 E Afton Ave,Yardley,PA"
NJ,Hoboken,901 Park Ave,"901 Park Ave,Hoboken,NJ"
NJ,Hoboken,901 Park Ave,"901 Park Ave,Hoboken,NJ"
NY,New York,55 Church St,"55 Church St,New York,NY"
NJ,Newark,14 Rector Street,"14 Rector Street,Newark,NJ"
NY,New York,  569 Hudson St,"  569 Hudson St,New York,NY"
NY,New York,Your Guide will meet you when you get out from the train at Poughkeepsie,"Your Guide will meet you when you get out from the train at Poughkeepsie,New York,NY"
NY,New York,27 W 24th St Suite 800B,"27 W 24th St Suite 800B,New York,NY"
NY,New York,Broadway Entrance at 34th/35th,"Broadway Entrance at 34th/35th,New York,NY"
NJ,West Orange,Crest Dr,"Crest Dr,West Orange,NJ"
NJ,Jersey City,107 Morgan St,"107 Morgan St,Jersey City,NJ"
NJ,Bayonne,1075 Broadway,"1075 Broadway,Bayonne,NJ"
NJ,West Orange,253 Main St,"253 Main St,West Orange,NJ"
NJ,West Orange,253 Main St,"253 Main St,West Orange,NJ"
NY,New York,742 10th Ave (between 50 and 51 Sts.,"742 10th Ave (between 50 and 51 Sts.,New York,NY"
NJ,Maplewood,64 Cherry Ln,"64 Cherry Ln,Maplewood,NJ"
NJ,Lyndhurst,"420 Valley Brook Avenue, Lyndhurst 07071","420 Valley Brook Avenue, Lyndhurst 07071,Lyndhurst,NJ"
NJ,Montclair,127 Valley Road,"127 Valley Road,Montclair,NJ"
NJ,Vauxhall,2933 Vauxhall Road,"2933 Vauxhall Road,Vauxhall,NJ"
NY,New York,191 Canal St,"191 Canal St,New York,NY"
NY,New York,..,"..,New York,NY"
