evt,grp,lnk,attendees,maploc,city,subcity,state,street,subcity_lat,subcity_lng,city_id
THURSDAY AFTERNOON AEROBIC HIKE ,Washington Crossing Park Association of NJ,https://www.meetup.com/washingtoncrossingstatepark/events/275752986,8,https://www.google.com/maps/search/api=1&query=40.313763%2C-74.862940,Trenton,Titusville,NJ,355 Washington Crossing Pennington Rd.,40.309222999999996,-74.846391,0
Fly-In at Ellisdale Fields,NJ Drone User Group,https://www.meetup.com/NJ-Dug/events/275376752,1,https://www.google.com/maps/search/api=1&query=40.145592%2C-74.635338,Trenton,Chesterfield ,NJ,410 Ellisdale Road,40.140632000000004,-74.6292,0
SMART RECOVERY at LifeBack,S.M.A.R.T. Recovery at LifeBack,https://www.meetup.com/S-M-A-R-T-Recovery-at-LifeBack/events/275708707,1,https://www.google.com/maps/search/api=1&query=40.285095%2C-74.709435,Trenton,Lawrence Township,NJ,4 Princess Rd,40.29554,-74.72036999999999,0
Lifeback's Helping Families Affected By Addiction,Lifeback's Helping Families Affected By Addiction,https://www.meetup.com/Lifebacks-Helping-Families-Affected-By-Addiction/events/275756516,1,https://www.google.com/maps/search/api=1&query=40.285095%2C-74.709435,Trenton,Lawrence Township,NJ,4 Princess Rd,40.29554,-74.72036999999999,0
Flying Solo Support Group,Flying Solo Support Group,https://www.meetup.com/meetup-group-uLdxSObt/events/275759437,1,https://www.google.com/maps/search/api=1&query=25+N.+Chancellor+St.+%2C+Newtown%2C+PA%2C+18940%2C+us,Trenton,Newtown,PA,25 N. Chancellor St. ,40.232371,-74.93253680000001,1
New! Online Zoom Yoga classes at Princeton Yoga,Princeton Yoga,https://www.meetup.com/Princeton-Yoga/events/275736086,1,https://www.google.com/maps/search/api=1&query=40.346752%2C-74.670860,Trenton,Skillman,NJ,"88 Orchard Road, Princeton Area",40.416608000000004,-74.659244,0
New online Zoom classes at Princeton Yoga!,PrincetonYoga,https://www.meetup.com/PrincetonYogaCenter/events/275773061,1,https://www.google.com/maps/search/api=1&query=88+Orchard+Road%2C+Princeton+Area%2C+Skillman%2C+NJ%2C+08540%2C+us,Trenton,Skillman,NJ,"88 Orchard Road, Princeton Area",40.416608000000004,-74.659244,0
LMT Outdoor Pickelball - Intermediates ,Lower Makefield Township Pickleball Meetup,https://www.meetup.com/Morrisville-Playing-Pickleball-Meetup/events/275727898,18,https://www.google.com/maps/search/api=1&query=40.219948%2C-74.874880,Trenton,Morrisville,PA,Cardinal Dr,40.21696,-74.871492,1
Winter Hike At 5 Mile Woods,Senior Sunrise Walkers,https://www.meetup.com/Senior-Sunrise-Walkers/events/275743637,1,https://www.google.com/maps/search/api=1&query=40.204163%2C-74.850080,Trenton,Yardley,PA,1305 Big Oak Rd,40.203775,-74.852094,1
Wednesday evening - Gentle Yoga Class,Yardley Rec Board,https://www.meetup.com/Yardley-Rec-Board/events/275757156,1,https://www.google.com/maps/search/api=1&query=40.241394%2C-74.836975,Trenton,Yardley,PA,56 South Main Street,40.245664,-74.84599720000001,1
