event_link,event_loc_state,event_loc_city,event_street,Google_Map_Link
https://www.meetup.com/delawareriverhikers/events/275827416,NJ,Bordentown,2401 Axe Factory Rd,https://www.google.com/maps/search/?api=1&query=40.117200%2C-74.739640
https://www.meetup.com/washingtoncrossingstatepark/events/275752986,NJ,Titusville,355 Washington Crossing Pennington Rd.,https://www.google.com/maps/search/?api=1&query=40.313763%2C-74.862940
https://www.meetup.com/HikingAroundPhilly/events/275829756,NJ,Titusville,180 Pleasant Valley Rd ,https://www.google.com/maps/search/?api=1&query=40.332250%2C-74.869000
https://www.meetup.com/NJ-Dug/events/275376752,NJ,Chesterfield ,410 Ellisdale Road,https://www.google.com/maps/search/?api=1&query=40.145590%2C-74.635340
https://www.meetup.com/Lifebacks-Helping-Families-Affected-By-Addiction/events/275896146,NJ,Lawrence Township,4 Princess Rd,https://www.google.com/maps/search/?api=1&query=40.285095%2C-74.709435
https://www.meetup.com/S-M-A-R-T-Recovery-at-LifeBack/events/275847344,NJ,Lawrence Township,4 Princess Rd,https://www.google.com/maps/search/?api=1&query=40.285095%2C-74.709435
https://www.meetup.com/meetup-group-uLdxSObt/events/275898501,PA,Newtown,25 N. Chancellor St. ,https://www.google.com/maps/search/?api=1&query=25+N.+Chancellor+St.+%2C+Newtown%2C+PA%2C+18940%2C+us
https://www.meetup.com/Princeton-Yoga/events/275876177,NJ,Skillman,"88 Orchard Road, Princeton Area",https://www.google.com/maps/search/?api=1&query=40.346752%2C-74.670860
https://www.meetup.com/PrincetonYogaCenter/events/275913147,NJ,Skillman,"88 Orchard Road, Princeton Area",https://www.google.com/maps/search/?api=1&query=88+Orchard+Road%2C+Princeton+Area%2C+Skillman%2C+NJ%2C+08540%2C+us
https://www.meetup.com/League-of-Extraordinary-Individuals/events/275851663,NJ,Robbinsville Twp,N Commerce Square,https://www.google.com/maps/search/?api=1&query=40.219723%2C-74.627129
https://www.meetup.com/BucksMont-Squires-of-Song/events/275876162,PA,Langhorne,301 E. Maple Ave,https://www.google.com/maps/search/?api=1&query=40.177586%2C-74.913460
https://www.meetup.com/Family-Fun-Hobbies-Pokemon-League/events/275826741,NJ,Hamilton,"731 Highway 33, Suite 3",https://www.google.com/maps/search/?api=1&query=40.231483%2C-74.679085
https://www.meetup.com/Bucks-County-Heavy-Strategy-Board-18xx-Game-Group/events/275897514, ,Morrisville, 26 Black Rock Rd,https://www.google.com/maps/search/?api=1&query=+26+Black+Rock+Rd%2C+Morrisville%2C+PA%2C+19067%2C+US
https://www.meetup.com/Bucks-County-Card-and-Board/events/275895896, ,Yardley,1080 Edgewood Rd,https://www.google.com/maps/search/?api=1&query=1080+Edgewood+Rd%2C+Yardley%2C+PA%2C+US
https://www.meetup.com/Lookin-For-Games/events/275828332,PA,Levittown ,4354 New Falls Road,https://www.google.com/maps/search/?api=1&query=4354+New+Falls+Road%2C+Levittown+%2C+PA%2C+19056%2C+us
https://www.meetup.com/FRINGEnewjersey/events/275871479,NJ,Bordentown,18 E. Union Street ,https://www.google.com/maps/search/?api=1&query=40.143364%2C-74.707321
https://www.meetup.com/Live-Love-Laugh-at-Soulutions-of-Newtown/events/275898470,PA,Newtown,126 N. State St.,https://www.google.com/maps/search/?api=1&query=40.231380%2C-74.936661
https://www.meetup.com/CJ-56plus/events/275869354,NJ,Hamilton Township,80 Sculptors Way,https://www.google.com/maps/search/?api=1&query=40.236970%2C-74.719210
https://www.meetup.com/Secrets-of-the-Princeton-Battlefield-Tours/events/272652579,NJ,Princeton,500 Mercer St ,https://www.google.com/maps/search/?api=1&query=40.331272%2C-74.676640
https://www.meetup.com/Lower-Bucks-Networking-Association-Meetup-Group/events/275723291,PA,Fairless Hills,980 Trenton Rd,https://www.google.com/maps/search/?api=1&query=40.187866%2C-74.828094
https://www.meetup.com/LeTip-of-Newtown/events/275884163,PA,Yardley,82 East Afton Avenue,https://www.google.com/maps/search/?api=1&query=82+East+Afton+Avenue%2C+Yardley%2C+PA%2C+19067%2C+us
https://www.meetup.com/Trenton-Real-Estate-Investors-Meetup/events/275867929,NJ,Trenton,"354 S Broad St,",https://www.google.com/maps/search/?api=1&query=354+S+Broad+St%2C%2C+Trenton%2C+NJ%2C+us
https://www.meetup.com/Bryan-Hughes-Business-Connections/events/275212029,PA,Newtown,,https://www.google.com/maps/search/?api=1&query=40.228336%2C-74.932259
https://www.meetup.com/Lower-Bucks-Business-Connections/events/275863236,PA,Langhorne,1262 Wood Lane  Ste 106/107,https://www.google.com/maps/search/?api=1&query=1262+Wood+Lane++Ste+106%2F107%2C+Langhorne%2C+PA%2C+us
https://www.meetup.com/phillybizconnects/events/275884152,PA,Yardley,82 E Afton Ave,https://www.google.com/maps/search/?api=1&query=40.244896%2C-74.836647
https://www.meetup.com/Hoboken-Bicycling-Meetup/events/275420479,NJ,Hoboken,901 Park Ave,https://www.google.com/maps/search/?api=1&query=901+Park+Ave%2C+901+Park+Ave%2C+Hoboken%2C+NJ%2C+07030%2C+us&query_place_id=ChIJyS2VDmJXwokR-pkTQhFPc6Q
https://www.meetup.com/Critical-Mass-NYC-NJ/events/274151373,NJ,Hoboken,901 Park Ave,https://www.google.com/maps/search/?api=1&query=40.747830%2C-74.030460
https://www.meetup.com/FreeWalkers/events/275895708,NE,Jersey City,1 Audrey Zapp Dr,https://www.google.com/maps/search/?api=1&query=40.708190%2C-74.038210
https://www.meetup.com/Staten-Island-Hiking-Meetup/events/274987327, ,staten island,168 Hooker Pl,https://www.google.com/maps/search/?api=1&query=168+Hooker+Pl%2C+staten+island%2C+NY%2C+10302%2C+US
https://www.meetup.com/hudson-county-indoor-rock-climbing/events/275892333,NJ,Hoboken ,1423 Clinton Street ,https://www.google.com/maps/search/?api=1&query=40.754820%2C-74.030050
https://www.meetup.com/outdooradventuresports/events/275895919,NJ,Newark,14 Rector Street,https://www.google.com/maps/search/?api=1&query=14+Rector+Street%2C+Newark%2C+nj%2C+07102%2C+us
https://www.meetup.com/trailshrinks/events/275798719,NJ,West Orange,Crest Dr,https://www.google.com/maps/search/?api=1&query=40.810840%2C-74.234490
https://www.meetup.com/Hoboken-Cove-Community-Boathouse/events/275865290,NJ,Hoboken,Frank Sinatra Dr,https://www.google.com/maps/search/?api=1&query=40.748386%2C-74.024025
https://www.meetup.com/TrailshrinksYoungens-com/events/275920471, , , , 
https://www.meetup.com/New-York-Cavers/events/275376807,NY,New York,  569 Hudson St,https://www.google.com/maps/search/?api=1&query=40.735905%2C-74.006180
https://www.meetup.com/New-York-Hikes-Happy-Hours-and-Outdoor-Adventures/events/275555724,NY,New York,Your Guide will meet you when you get out from the train at Poughkeepsie,https://www.google.com/maps/search/?api=1&query=Your+Guide+will+meet+you+when+you+get+out+from+the+train+at+Poughkeepsie%2C+New+York%2C+NY%2C+us
https://www.meetup.com/SINGLES-TRAVEL-AND-ADVENTURE/events/275555362,NY,New York,"416 8th ave, Corner of 31st",https://www.google.com/maps/search/?api=1&query=40.750084%2C-73.994670
https://www.meetup.com/NYCKiteboarding/events/275786860,NY,New York,,https://www.google.com/maps/search/?api=1&query=40.754932%2C-73.984016
https://www.meetup.com/Outsiders-NY/events/275732322,NY,New York,,https://www.google.com/maps/search/?api=1&query=Essex+Squeeze%2C+New+York%2C+NY%2C+10002%2C+us&query_place_id=ChIJ9ZdyFThZwokRk-jYrTQy--c
https://www.meetup.com/West-Orange-New-Moms-Meetup/events/275886460,NJ,West Orange,253 Main St,https://www.google.com/maps/search/?api=1&query=Whole+Mother+Village%2C+253+Main+St%2C+West+Orange%2C+NJ%2C+07052%2C+us&query_place_id=ChIJyRTwoY-rw4kRmMcDHSlT4_8
