,state,city,category,event_name,group_name,attendees,lat,lng,population,venue_event_link,event_state,event_city,event_street,Google_Map_Link
0,NJ,Trenton,Outdoors & Adventure,Winter Hike At Crystal Lake,DelawareRiverHikers,14,40.2236,-74.7641,290716,https://www.meetup.com/delawareriverhikers/events/275827416,NJ,Bordentown,2401 Axe Factory Rd,https://www.google.com/maps/search/?api=1&query=40.117200%2C-74.739640
1,NJ,Trenton,Outdoors & Adventure,THURSDAY AFTERNOON AEROBIC HIKE ,Washington Crossing Park Association of NJ,8,40.2236,-74.7641,290716,https://www.meetup.com/washingtoncrossingstatepark/events/275752986,NJ,Titusville,355 Washington Crossing Pennington Rd.,https://www.google.com/maps/search/?api=1&query=40.313763%2C-74.862940
2,NJ,Trenton,Outdoors & Adventure,Scenic Overlook Pokadot Chicken Hike at Baldpate Mt,Hiking Around Philly,14,40.2236,-74.7641,290716,https://www.meetup.com/HikingAroundPhilly/events/275829756,NJ,Titusville,180 Pleasant Valley Rd ,https://www.google.com/maps/search/?api=1&query=40.332250%2C-74.869000
3,NJ,Trenton,Tech,Fly-In at Ellisdale Fields,NJ Drone User Group,1,40.2236,-74.7641,290716,https://www.meetup.com/NJ-Dug/events/275376752,NJ,Chesterfield ,410 Ellisdale Road,https://www.google.com/maps/search/?api=1&query=40.145590%2C-74.635340
4,NJ,Trenton,Health & Wellness,Lifeback's Helping Families Affected By Addiction,Lifeback's Helping Families Affected By Addiction,1,40.2236,-74.7641,290716,https://www.meetup.com/Lifebacks-Helping-Families-Affected-By-Addiction/events/275896146,NJ,Lawrence Township,4 Princess Rd,https://www.google.com/maps/search/?api=1&query=40.285095%2C-74.709435
5,NJ,Trenton,Health & Wellness,SMART RECOVERY at LifeBack,S.M.A.R.T. Recovery at LifeBack,1,40.2236,-74.7641,290716,https://www.meetup.com/S-M-A-R-T-Recovery-at-LifeBack/events/275847344,NJ,Lawrence Township,4 Princess Rd,https://www.google.com/maps/search/?api=1&query=40.285095%2C-74.709435
6,NJ,Trenton,Health & Wellness,Flying Solo Support Group,Flying Solo Support Group,1,40.2236,-74.7641,290716,https://www.meetup.com/meetup-group-uLdxSObt/events/275898501,PA,Newtown,25 N. Chancellor St. ,https://www.google.com/maps/search/?api=1&query=25+N.+Chancellor+St.+%2C+Newtown%2C+PA%2C+18940%2C+us
7,NJ,Trenton,Health & Wellness,New! Online Zoom Yoga classes at Princeton Yoga,Princeton Yoga,1,40.2236,-74.7641,290716,https://www.meetup.com/Princeton-Yoga/events/275876177,NJ,Skillman,"88 Orchard Road, Princeton Area",https://www.google.com/maps/search/?api=1&query=40.346752%2C-74.670860
8,NJ,Trenton,Health & Wellness,New online Zoom classes at Princeton Yoga!,PrincetonYoga,1,40.2236,-74.7641,290716,https://www.meetup.com/PrincetonYogaCenter/events/275913147,NJ,Skillman,"88 Orchard Road, Princeton Area",https://www.google.com/maps/search/?api=1&query=88+Orchard+Road%2C+Princeton+Area%2C+Skillman%2C+NJ%2C+08540%2C+us
9,NJ,Trenton,Food & Drink,Walk in Robbinsville - 5K ,League of Extraordinary Individuals,3,40.2236,-74.7641,290716,https://www.meetup.com/League-of-Extraordinary-Individuals/events/275851663,NJ,Robbinsville Twp,N Commerce Square,https://www.google.com/maps/search/?api=1&query=40.219723%2C-74.627129
10,NJ,Trenton,Music,Let's meet up and sing!,BucksMont Squires of Song,1,40.2236,-74.7641,290716,https://www.meetup.com/BucksMont-Squires-of-Song/events/275876162,PA,Langhorne,301 E. Maple Ave,https://www.google.com/maps/search/?api=1&query=40.177586%2C-74.913460
11,NJ,Trenton,Sci-Fi & Games,Pokemon Casual Play League,Family Fun Hobbies' Pokemon League,1,40.2236,-74.7641,290716,https://www.meetup.com/Family-Fun-Hobbies-Pokemon-League/events/275826741,NJ,Hamilton,"731 Highway 33, Suite 3",https://www.google.com/maps/search/?api=1&query=40.231483%2C-74.679085
14,NJ,Trenton,Sci-Fi & Games,Miniatures Melee at Lookin' for Games,Lookin’ For Games,1,40.2236,-74.7641,290716,https://www.meetup.com/Lookin-For-Games/events/275828332,PA,Levittown ,4354 New Falls Road,https://www.google.com/maps/search/?api=1&query=4354+New+Falls+Road%2C+Levittown+%2C+PA%2C+19056%2C+us
15,NJ,Trenton,Beliefs,"""Dr. UFO presents ... """,FRINGE New Jersey,3,40.2236,-74.7641,290716,https://www.meetup.com/FRINGEnewjersey/events/275871479,NJ,Bordentown,18 E. Union Street ,https://www.google.com/maps/search/?api=1&query=40.143364%2C-74.707321
16,NJ,Trenton,Beliefs,Zoom online format A Course in Miracles Circle,"Live, Love, Laugh at Soulutions of Newtown",1,40.2236,-74.7641,290716,https://www.meetup.com/Live-Love-Laugh-at-Soulutions-of-Newtown/events/275898470,PA,Newtown,126 N. State St.,https://www.google.com/maps/search/?api=1&query=40.231380%2C-74.936661
17,NJ,Trenton,Arts,ONE DAY ONLY - Free One Day Pass to Grounds For Sculpture for One Member,Central Jersey 56 Plus,1,40.2236,-74.7641,290716,https://www.meetup.com/CJ-56plus/events/275869354,NJ,Hamilton Township,80 Sculptors Way,https://www.google.com/maps/search/?api=1&query=40.236970%2C-74.719210
18,NJ,Trenton,Arts,Secrets of the Battle of Princeton: History and Nature Walk,Secrets of the Battle of Princeton Tours,20,40.2236,-74.7641,290716,https://www.meetup.com/Secrets-of-the-Princeton-Battlefield-Tours/events/272652579,NJ,Princeton,500 Mercer St ,https://www.google.com/maps/search/?api=1&query=40.331272%2C-74.676640
19,NJ,Trenton,Career & Business,"LBNA - FALLS, PA MEETS EVERY WEDNESDAY 12:30PM -01:30PM",Lower Bucks Networking Association Meetup Group,2,40.2236,-74.7641,290716,https://www.meetup.com/Lower-Bucks-Networking-Association-Meetup-Group/events/275723291,PA,Fairless Hills,980 Trenton Rd,https://www.google.com/maps/search/?api=1&query=40.187866%2C-74.828094
20,NJ,Trenton,Career & Business,Join us for Breakfast and bring plenty of Business Cards!,LeTip of Newtown,1,40.2236,-74.7641,290716,https://www.meetup.com/LeTip-of-Newtown/events/275884163,PA,Yardley,82 East Afton Avenue,https://www.google.com/maps/search/?api=1&query=82+East+Afton+Avenue%2C+Yardley%2C+PA%2C+19067%2C+us
21,NJ,Trenton,Career & Business,Trenton Real Estate --- hear from talented local and national investors,Trenton Real Estate Hackers Meetup,2,40.2236,-74.7641,290716,https://www.meetup.com/Trenton-Real-Estate-Investors-Meetup/events/275867929,NJ,Trenton,"354 S Broad St,",https://www.google.com/maps/search/?api=1&query=354+S+Broad+St%2C%2C+Trenton%2C+NJ%2C+us
23,NJ,Trenton,Career & Business,Free Hard Networking Group w/ 26 Members - Looking For New Members,Lower Bucks Business Connections,1,40.2236,-74.7641,290716,https://www.meetup.com/Lower-Bucks-Business-Connections/events/275863236,PA,Langhorne,1262 Wood Lane  Ste 106/107,https://www.google.com/maps/search/?api=1&query=1262+Wood+Lane++Ste+106%2F107%2C+Langhorne%2C+PA%2C+us
24,NJ,Trenton,Career & Business,Letip of Newtown,Philly Biz Connects,1,40.2236,-74.7641,290716,https://www.meetup.com/phillybizconnects/events/275884152,PA,Yardley,82 E Afton Ave,https://www.google.com/maps/search/?api=1&query=40.244896%2C-74.836647
25,NJ,Newark,Outdoors & Adventure,Hoboken Critical Mass Light Up The Night Bike Tour,Hoboken Bicycling Meetup,11,40.7245,-74.1725,282011,https://www.meetup.com/Hoboken-Bicycling-Meetup/events/275420479,NJ,Hoboken,901 Park Ave,https://www.google.com/maps/search/?api=1&query=901+Park+Ave%2C+901+Park+Ave%2C+Hoboken%2C+NJ%2C+07030%2C+us&query_place_id=ChIJyS2VDmJXwokR-pkTQhFPc6Q
26,NJ,Newark,Outdoors & Adventure,Critical Mass NYC / NJ - January 2021,Critical Mass NYC / NJ,4,40.7245,-74.1725,282011,https://www.meetup.com/Critical-Mass-NYC-NJ/events/274151373,NJ,Hoboken,901 Park Ave,https://www.google.com/maps/search/?api=1&query=40.747830%2C-74.030460
27,NJ,Newark,Outdoors & Adventure,"First Sunday of the month, a joint walk with Everwalk (may use for Kennedy50)",FreeWalkers,4,40.7245,-74.1725,282011,https://www.meetup.com/FreeWalkers/events/275895708,NE,Jersey City,1 Audrey Zapp Dr,https://www.google.com/maps/search/?api=1&query=40.708190%2C-74.038210
