state,city,category,event_name,group_name,attendees,event_link,lat,lng,population
NJ,Trenton,Outdoors & Adventure,Winter Hike At Crystal Lake,DelawareRiverHikers,14,https://www.meetup.com/delawareriverhikers/events/275827416,40.2236,-74.7641,290716
NJ,Trenton,Outdoors & Adventure,THURSDAY AFTERNOON AEROBIC HIKE ,Washington Crossing Park Association of NJ,8,https://www.meetup.com/washingtoncrossingstatepark/events/275752986,40.2236,-74.7641,290716
NJ,Trenton,Outdoors & Adventure,Scenic Overlook Pokadot Chicken Hike at Baldpate Mt,Hiking Around Philly,14,https://www.meetup.com/HikingAroundPhilly/events/275829756,40.2236,-74.7641,290716
NJ,Trenton,Tech,Fly-In at Ellisdale Fields,NJ Drone User Group,1,https://www.meetup.com/NJ-Dug/events/275376752,40.2236,-74.7641,290716
NJ,Trenton,Health & Wellness,Lifeback's Helping Families Affected By Addiction,Lifeback's Helping Families Affected By Addiction,1,https://www.meetup.com/Lifebacks-Helping-Families-Affected-By-Addiction/events/275896146,40.2236,-74.7641,290716
NJ,Trenton,Health & Wellness,SMART RECOVERY at LifeBack,S.M.A.R.T. Recovery at LifeBack,1,https://www.meetup.com/S-M-A-R-T-Recovery-at-LifeBack/events/275847344,40.2236,-74.7641,290716
NJ,Trenton,Health & Wellness,Flying Solo Support Group,Flying Solo Support Group,1,https://www.meetup.com/meetup-group-uLdxSObt/events/275898501,40.2236,-74.7641,290716
NJ,Trenton,Health & Wellness,New! Online Zoom Yoga classes at Princeton Yoga,Princeton Yoga,1,https://www.meetup.com/Princeton-Yoga/events/275876177,40.2236,-74.7641,290716
NJ,Trenton,Health & Wellness,New online Zoom classes at Princeton Yoga!,PrincetonYoga,1,https://www.meetup.com/PrincetonYogaCenter/events/275913147,40.2236,-74.7641,290716
NJ,Trenton,Food & Drink,Walk in Robbinsville - 5K ,League of Extraordinary Individuals,3,https://www.meetup.com/League-of-Extraordinary-Individuals/events/275851663,40.2236,-74.7641,290716
NJ,Trenton,Music,Let's meet up and sing!,BucksMont Squires of Song,1,https://www.meetup.com/BucksMont-Squires-of-Song/events/275876162,40.2236,-74.7641,290716
NJ,Trenton,Sci-Fi & Games,Pokemon Casual Play League,Family Fun Hobbies' Pokemon League,1,https://www.meetup.com/Family-Fun-Hobbies-Pokemon-League/events/275826741,40.2236,-74.7641,290716
NJ,Trenton,Sci-Fi & Games,"Heavy Board Game Group Seeking Members Bucks County 18xx 

",Bucks County Heavy Strategy Board/18xx Game Group,1,https://www.meetup.com/Bucks-County-Heavy-Strategy-Board-18xx-Game-Group/events/275897514,40.2236,-74.7641,290716
NJ,Trenton,Sci-Fi & Games,Board Games for Grownups at Yardley Library,Bucks County Card and Board,1,https://www.meetup.com/Bucks-County-Card-and-Board/events/275895896,40.2236,-74.7641,290716
NJ,Trenton,Sci-Fi & Games,Miniatures Melee at Lookin' for Games,Lookin’ For Games,1,https://www.meetup.com/Lookin-For-Games/events/275828332,40.2236,-74.7641,290716
NJ,Trenton,Beliefs,"""Dr. UFO presents ... """,FRINGE New Jersey,3,https://www.meetup.com/FRINGEnewjersey/events/275871479,40.2236,-74.7641,290716
NJ,Trenton,Beliefs,Zoom online format A Course in Miracles Circle,"Live, Love, Laugh at Soulutions of Newtown",1,https://www.meetup.com/Live-Love-Laugh-at-Soulutions-of-Newtown/events/275898470,40.2236,-74.7641,290716
NJ,Trenton,Arts,ONE DAY ONLY - Free One Day Pass to Grounds For Sculpture for One Member,Central Jersey 56 Plus,1,https://www.meetup.com/CJ-56plus/events/275869354,40.2236,-74.7641,290716
NJ,Trenton,Arts,Secrets of the Battle of Princeton: History and Nature Walk,Secrets of the Battle of Princeton Tours,20,https://www.meetup.com/Secrets-of-the-Princeton-Battlefield-Tours/events/272652579,40.2236,-74.7641,290716
NJ,Trenton,Career & Business,"LBNA - FALLS, PA MEETS EVERY WEDNESDAY 12:30PM -01:30PM",Lower Bucks Networking Association Meetup Group,2,https://www.meetup.com/Lower-Bucks-Networking-Association-Meetup-Group/events/275723291,40.2236,-74.7641,290716
NJ,Trenton,Career & Business,Join us for Breakfast and bring plenty of Business Cards!,LeTip of Newtown,1,https://www.meetup.com/LeTip-of-Newtown/events/275884163,40.2236,-74.7641,290716
NJ,Trenton,Career & Business,Trenton Real Estate --- hear from talented local and national investors,Trenton Real Estate Hackers Meetup,2,https://www.meetup.com/Trenton-Real-Estate-Investors-Meetup/events/275867929,40.2236,-74.7641,290716
NJ,Trenton,Career & Business,Wednesday Breakfast | Bryan Hughes Business Connections,Bryan Hughes Business Connections,6,https://www.meetup.com/Bryan-Hughes-Business-Connections/events/275212029,40.2236,-74.7641,290716
NJ,Trenton,Career & Business,Free Hard Networking Group w/ 26 Members - Looking For New Members,Lower Bucks Business Connections,1,https://www.meetup.com/Lower-Bucks-Business-Connections/events/275863236,40.2236,-74.7641,290716
