event_link,event_state,event_city,event_street,Google_Map_Link
https://www.meetup.com/washingtoncrossingstatepark/events/275752986,nj,Titusville,355 Washington Crossing Pennington Rd.,https://www.google.com/maps/search/?api=1&query=40.313763%2C-74.862940
https://www.meetup.com/NJ-Dug/events/275376752,nj,Chesterfield ,410 Ellisdale Road,https://www.google.com/maps/search/?api=1&query=40.145592%2C-74.635338
https://www.meetup.com/S-M-A-R-T-Recovery-at-LifeBack/events/275708707,NJ,Lawrence Township,4 Princess Rd,https://www.google.com/maps/search/?api=1&query=40.285095%2C-74.709435
https://www.meetup.com/Lifebacks-Helping-Families-Affected-By-Addiction/events/275756516,NJ,Lawrence Township,4 Princess Rd,https://www.google.com/maps/search/?api=1&query=40.285095%2C-74.709435
https://www.meetup.com/meetup-group-uLdxSObt/events/275759437,PA,Newtown,25 N. Chancellor St. ,https://www.google.com/maps/search/?api=1&query=25+N.+Chancellor+St.+%2C+Newtown%2C+PA%2C+18940%2C+us
https://www.meetup.com/Princeton-Yoga/events/275736086,NJ,Skillman,"88 Orchard Road, Princeton Area",https://www.google.com/maps/search/?api=1&query=40.346752%2C-74.670860
https://www.meetup.com/PrincetonYogaCenter/events/275773061,NJ,Skillman,"88 Orchard Road, Princeton Area",https://www.google.com/maps/search/?api=1&query=88+Orchard+Road%2C+Princeton+Area%2C+Skillman%2C+NJ%2C+08540%2C+us
https://www.meetup.com/Morrisville-Playing-Pickleball-Meetup/events/275727898,PA,Morrisville,Cardinal Dr,https://www.google.com/maps/search/?api=1&query=40.219948%2C-74.874880
https://www.meetup.com/Senior-Sunrise-Walkers/events/275743637,PA,Yardley,1305 Big Oak Rd,https://www.google.com/maps/search/?api=1&query=40.204163%2C-74.850080
https://www.meetup.com/Yardley-Rec-Board/events/275757156,PA,Yardley,56 South Main Street,https://www.google.com/maps/search/?api=1&query=40.241394%2C-74.836975
https://www.meetup.com/League-of-Extraordinary-Individuals/events/275713854,NJ,Robbinsville Twp,N Commerce Square,https://www.google.com/maps/search/?api=1&query=40.219723%2C-74.627129
https://www.meetup.com/Hamilton-Creative-Non-fiction-Writing/events/275708650,NJ,hamilton,hamilton nj,https://www.google.com/maps/search/?api=1&query=40.255310%2C-74.704117
https://www.meetup.com/Lawrence-Writers-Meetup/events/275730701,NJ,Lawrence Township,Lib - 2751 Brunswick Pike at Darrah Ln Church - Rt 206 at Meadowbrook Ave,https://www.google.com/maps/search/?api=1&query=40.266296%2C-74.718803
https://www.meetup.com/Lower-Bucks-Creative-Writers/events/275756633,PA,Bucks County,"400 N Oxford Valley Rd, Langhorne, PA 19047",https://www.google.com/maps/search/?api=1&query=400+N+Oxford+Valley+Rd%2C+Langhorne%2C+PA+19047%2C+Bucks+County%2C+PA%2C+us
https://www.meetup.com/Princeton-Writing-Group/events/275747313,NJ,Lawrenceville,2751 Brunswick Pike,https://www.google.com/maps/search/?api=1&query=40.265938%2C-74.718552
https://www.meetup.com/Newtown-Yardley-Creative-Writing-Workshop/events/275777382,PA,Newtown,3 West Road,https://www.google.com/maps/search/?api=1&query=3+West+Road%2C+Newtown%2C+PA%2C+us
https://www.meetup.com/BucksMont-Squires-of-Song/events/275736071,PA,Langhorne,301 E. Maple Ave,https://www.google.com/maps/search/?api=1&query=40.177586%2C-74.913460
https://www.meetup.com/Bucks-County-Heavy-Strategy-Board-18xx-Game-Group/events/275758150, ,Morrisville, 26 Black Rock Rd,https://www.google.com/maps/search/?api=1&query=+26+Black+Rock+Rd%2C+Morrisville%2C+PA%2C+19067%2C+US
https://www.meetup.com/Bucks-County-Card-and-Board/events/275777138,PA,Levittown,7311 New Falls Rd,https://www.google.com/maps/search/?api=1&query=40.157047%2C-74.854668
https://www.meetup.com/Lookin-For-Games/events/275734190,PA,Levittown ,4354 New Falls Road,https://www.google.com/maps/search/?api=1&query=4354+New+Falls+Road%2C+Levittown+%2C+PA%2C+19056%2C+us
https://www.meetup.com/FRINGEnewjersey/events/275385476,NJ,Bordentown,18 E. Union Street ,https://www.google.com/maps/search/?api=1&query=18+E.+Union+Street+%2C+Bordentown%2C+NJ%2C+us
https://www.meetup.com/Live-Love-Laugh-at-Soulutions-of-Newtown/events/275759345,PA,Newtown,126 N. State St.,https://www.google.com/maps/search/?api=1&query=40.231380%2C-74.936661
https://www.meetup.com/CJ-56plus/events/275689348,NJ,Hamilton Township,80 Sculptors Way,https://www.google.com/maps/search/?api=1&query=40.236970%2C-74.719210
https://www.meetup.com/Secrets-of-the-Princeton-Battlefield-Tours/events/272652579,nj,Princeton,500 Mercer St ,https://www.google.com/maps/search/?api=1&query=40.331272%2C-74.676640
https://www.meetup.com/phillysocialmeetup/events/275791957,PA,Bristol,4010 New Falls Rd,https://www.google.com/maps/search/?api=1&query=La+Luna+Dance+Studio%2C+4010+New+Falls+Rd%2C+Bristol%2C+PA%2C+19007%2C+us&query_place_id=ChIJMZ1FnaFNwYkRmBVX-VDCew0
