id,state,city,event_name,group_name,attendees,lat,lng,population,venue_event_link,event_state,event_city,event_street,Google_Map_Link,event_lat,event_lng,address
0,NJ,Trenton,THURSDAY AFTERNOON AEROBIC HIKE ,Washington Crossing Park Association of NJ,8,40.2236,-74.7641,290716,https://www.meetup.com/washingtoncrossingstatepark/events/275752986,NJ,Titusville,355 Washington Crossing Pennington Rd.,https://www.google.com/maps/search/?api=1&query=40.313763%2C-74.862940,40.309223,-74.846391,"""355 Washington Crossing Pennington Rd.,Titusville,NJ"""
1,NJ,Trenton,Fly-In at Ellisdale Fields,NJ Drone User Group,1,40.2236,-74.7641,290716,https://www.meetup.com/NJ-Dug/events/275376752,NJ,Chesterfield ,410 Ellisdale Road,https://www.google.com/maps/search/?api=1&query=40.145592%2C-74.635338,40.140632,-74.6292,"""410 Ellisdale Road,Chesterfield ,NJ"""
2,NJ,Trenton,SMART RECOVERY at LifeBack,S.M.A.R.T. Recovery at LifeBack,1,40.2236,-74.7641,290716,https://www.meetup.com/S-M-A-R-T-Recovery-at-LifeBack/events/275708707,NJ,Lawrence Township,4 Princess Rd,https://www.google.com/maps/search/?api=1&query=40.285095%2C-74.709435,40.29554,-74.72037,"""4 Princess Rd,Lawrence Township,NJ"""
3,NJ,Trenton,Lifeback's Helping Families Affected By Addiction,Lifeback's Helping Families Affected By Addiction,1,40.2236,-74.7641,290716,https://www.meetup.com/Lifebacks-Helping-Families-Affected-By-Addiction/events/275756516,NJ,Lawrence Township,4 Princess Rd,https://www.google.com/maps/search/?api=1&query=40.285095%2C-74.709435,40.29554,-74.72037,"""4 Princess Rd,Lawrence Township,NJ"""
4,NJ,Trenton,Flying Solo Support Group,Flying Solo Support Group,1,40.2236,-74.7641,290716,https://www.meetup.com/meetup-group-uLdxSObt/events/275759437,PA,Newtown,25 N. Chancellor St. ,https://www.google.com/maps/search/?api=1&query=25+N.+Chancellor+St.+%2C+Newtown%2C+PA%2C+18940%2C+us,40.232371,-74.9325368,"""25 N. Chancellor St. ,Newtown,PA"""
5,NJ,Trenton,New! Online Zoom Yoga classes at Princeton Yoga,Princeton Yoga,1,40.2236,-74.7641,290716,https://www.meetup.com/Princeton-Yoga/events/275736086,NJ,Skillman,"88 Orchard Road, Princeton Area",https://www.google.com/maps/search/?api=1&query=40.346752%2C-74.670860,40.416608,-74.659244,"""88 Orchard Road, Princeton Area,Skillman,NJ"""
6,NJ,Trenton,New online Zoom classes at Princeton Yoga!,PrincetonYoga,1,40.2236,-74.7641,290716,https://www.meetup.com/PrincetonYogaCenter/events/275773061,NJ,Skillman,"88 Orchard Road, Princeton Area",https://www.google.com/maps/search/?api=1&query=88+Orchard+Road%2C+Princeton+Area%2C+Skillman%2C+NJ%2C+08540%2C+us,40.416608,-74.659244,"""88 Orchard Road, Princeton Area,Skillman,NJ"""
7,NJ,Trenton,LMT Outdoor Pickelball - Intermediates ,Lower Makefield Township Pickleball Meetup,18,40.2236,-74.7641,290716,https://www.meetup.com/Morrisville-Playing-Pickleball-Meetup/events/275727898,PA,Morrisville,Cardinal Dr,https://www.google.com/maps/search/?api=1&query=40.219948%2C-74.874880,40.21696,-74.871492,"""Cardinal Dr,Morrisville,PA"""
8,NJ,Trenton,Winter Hike At 5 Mile Woods,Senior Sunrise Walkers,1,40.2236,-74.7641,290716,https://www.meetup.com/Senior-Sunrise-Walkers/events/275743637,PA,Yardley,1305 Big Oak Rd,https://www.google.com/maps/search/?api=1&query=40.204163%2C-74.850080,40.203775,-74.852094,"""1305 Big Oak Rd,Yardley,PA"""
9,NJ,Trenton,Wednesday evening - Gentle Yoga Class,Yardley Rec Board,1,40.2236,-74.7641,290716,https://www.meetup.com/Yardley-Rec-Board/events/275757156,PA,Yardley,56 South Main Street,https://www.google.com/maps/search/?api=1&query=40.241394%2C-74.836975,40.245664,-74.8459972,"""56 South Main Street,Yardley,PA"""
10,NJ,Trenton,Walk in Robbinsville - 5K ,League of Extraordinary Individuals,1,40.2236,-74.7641,290716,https://www.meetup.com/League-of-Extraordinary-Individuals/events/275713854,NJ,Robbinsville Twp,N Commerce Square,https://www.google.com/maps/search/?api=1&query=40.219723%2C-74.627129,40.2187112,-74.6278586,"""N Commerce Square,Robbinsville Twp,NJ"""
11,NJ,Trenton,Write well and learn using Zoom to share our writing,Hamilton Creative Writing,2,40.2236,-74.7641,290716,https://www.meetup.com/Hamilton-Creative-Non-fiction-Writing/events/275708650,NJ,hamilton,hamilton nj,https://www.google.com/maps/search/?api=1&query=40.255310%2C-74.704117,40.2553663,-74.7040312,"""hamilton nj,hamilton,NJ"""
12,NJ,Trenton,Free online class sessions on learning the craft of writing and sharing our work,Lawrence Creative Writers,2,40.2236,-74.7641,290716,https://www.meetup.com/Lawrence-Writers-Meetup/events/275730701,NJ,Lawrence Township,Lib - 2751 Brunswick Pike at Darrah Ln Church - Rt 206 at Meadowbrook Ave,https://www.google.com/maps/search/?api=1&query=40.266296%2C-74.718803,26.66667,85.5,"""Lib - 2751 Brunswick Pike at Darrah Ln Church - Rt 206 at Meadowbrook Ave,Lawrence Township,NJ"""
13,NJ,Trenton,Constructive Feedback,Lower Bucks Creative Writers,3,40.2236,-74.7641,290716,https://www.meetup.com/Lower-Bucks-Creative-Writers/events/275756633,PA,Bucks County,"400 N Oxford Valley Rd, Langhorne, PA 19047",https://www.google.com/maps/search/?api=1&query=400+N+Oxford+Valley+Rd%2C+Langhorne%2C+PA+19047%2C+Bucks+County%2C+PA%2C+us,40.189204,-74.86777,"""400 N Oxford Valley Rd, Langhorne, PA 19047,Bucks County,PA"""
14,NJ,Trenton,Fiction Writers Workshop at Lawrence Library,Princeton Writing Group,1,40.2236,-74.7641,290716,https://www.meetup.com/Princeton-Writing-Group/events/275747313,NJ,Lawrenceville,2751 Brunswick Pike,https://www.google.com/maps/search/?api=1&query=40.265938%2C-74.718552,40.2764189,-74.7061019,"""2751 Brunswick Pike,Lawrenceville,NJ"""
15,NJ,Trenton,Reading and Critique ,Newtown-Yardley Creative Writing Workshop,1,40.2236,-74.7641,290716,https://www.meetup.com/Newtown-Yardley-Creative-Writing-Workshop/events/275777382,PA,Newtown,3 West Road,https://www.google.com/maps/search/?api=1&query=3+West+Road%2C+Newtown%2C+PA%2C+us,40.235287,-74.9428313,"""3 West Road,Newtown,PA"""
16,NJ,Trenton,Let's meet up and sing!,BucksMont Squires of Song,1,40.2236,-74.7641,290716,https://www.meetup.com/BucksMont-Squires-of-Song/events/275736071,PA,Langhorne,301 E. Maple Ave,https://www.google.com/maps/search/?api=1&query=40.177586%2C-74.913460,40.203881,-74.89768,"""301 E. Maple Ave,Langhorne,PA"""
18,NJ,Trenton,Adult Game Night at Levittown Library,Bucks County Card and Board,1,40.2236,-74.7641,290716,https://www.meetup.com/Bucks-County-Card-and-Board/events/275777138,PA,Levittown,7311 New Falls Rd,https://www.google.com/maps/search/?api=1&query=40.157047%2C-74.854668,40.1574174,-74.8322245,"""7311 New Falls Rd,Levittown,PA"""
19,NJ,Trenton,MTG Commander at Lookin for Games,Lookin’ For Games,1,40.2236,-74.7641,290716,https://www.meetup.com/Lookin-For-Games/events/275734190,PA,Levittown ,4354 New Falls Road,https://www.google.com/maps/search/?api=1&query=4354+New+Falls+Road%2C+Levittown+%2C+PA%2C+19056%2C+us,40.1574174,-74.8322245,"""4354 New Falls Road,Levittown ,PA"""
20,NJ,Trenton,FRINGE Regular Meeting,FRINGE New Jersey,2,40.2236,-74.7641,290716,https://www.meetup.com/FRINGEnewjersey/events/275385476,NJ,Bordentown,18 E. Union Street ,https://www.google.com/maps/search/?api=1&query=18+E.+Union+Street+%2C+Bordentown%2C+NJ%2C+us,40.143566,-74.707891,"""18 E. Union Street ,Bordentown,NJ"""
21,NJ,Trenton,Zoom online format A Course in Miracles Circle,"Live, Love, Laugh at Soulutions of Newtown",1,40.2236,-74.7641,290716,https://www.meetup.com/Live-Love-Laugh-at-Soulutions-of-Newtown/events/275759345,PA,Newtown,126 N. State St.,https://www.google.com/maps/search/?api=1&query=40.231380%2C-74.936661,40.231052,-74.936579,"""126 N. State St.,Newtown,PA"""
22,NJ,Trenton,START THE NEW YEAR WITH ART - Free One Day Pass to Grounds For Sculpture Today ,Central Jersey 56 Plus,1,40.2236,-74.7641,290716,https://www.meetup.com/CJ-56plus/events/275689348,NJ,Hamilton Township,80 Sculptors Way,https://www.google.com/maps/search/?api=1&query=40.236970%2C-74.719210,40.208655,-74.032183,"""80 Sculptors Way,Hamilton Township,NJ"""
23,NJ,Trenton,Secrets of the Battle of Princeton: History and Nature Walk,Secrets of the Battle of Princeton Tours,20,40.2236,-74.7641,290716,https://www.meetup.com/Secrets-of-the-Princeton-Battlefield-Tours/events/272652579,NJ,Princeton,500 Mercer St ,https://www.google.com/maps/search/?api=1&query=40.331272%2C-74.676640,40.3484418,-74.6638321,"""500 Mercer St ,Princeton,NJ"""
24,NJ,Trenton,Big Ballroom Wednesdays Latin Dancing @ La Luna,Social and Like Dancing - Philly,1,40.2236,-74.7641,290716,https://www.meetup.com/phillysocialmeetup/events/275791957,PA,Bristol,4010 New Falls Rd,https://www.google.com/maps/search/?api=1&query=La+Luna+Dance+Studio%2C+4010+New+Falls+Rd%2C+Bristol%2C+PA%2C+19007%2C+us&query_place_id=ChIJMZ1FnaFNwYkRmBVX-VDCew0,40.133675,-74.885545,"""4010 New Falls Rd,Bristol,PA"""
25,NJ,Trenton,Charity Sewing in Yardley,Charity Sewing Meetup,1,40.2236,-74.7641,290716,https://www.meetup.com/Charity-Sewing-Meetup/events/275729128,PA,Morrisville,26 Delaware Rim Dr,https://www.google.com/maps/search/?api=1&query=40.260494%2C-74.871658,40.261702,-74.872269,"""26 Delaware Rim Dr,Morrisville,PA"""
26,NJ,Trenton,"LBNA - FALLS, PA MEETS EVERY WEDNESDAY 12:30PM -01:30PM",Lower Bucks Networking Association Meetup Group,4,40.2236,-74.7641,290716,https://www.meetup.com/Lower-Bucks-Networking-Association-Meetup-Group/events/275723285,PA,Fairless Hills,980 Trenton Rd,https://www.google.com/maps/search/?api=1&query=40.187866%2C-74.828094,41.690349,-78.657339,"""980 Trenton Rd,Fairless Hills,PA"""
27,NJ,Trenton,Become a leader and improve your communication skills,Lawrenceville Toastmasters - Public Speaking/Leadership,3,40.2236,-74.7641,290716,https://www.meetup.com/HDR-Lawrenceville-Toastmasters/events/275511497,NJ,Lawrence Township,2000 Lenox Drive ,https://www.google.com/maps/search/?api=1&query=2000+Lenox+Drive+%2C+Lawrence+Township%2C+nj%2C+08648%2C+us,40.29554,-74.72037,"""2000 Lenox Drive ,Lawrence Township,NJ"""
28,NJ,Trenton,Join us for Breakfast and bring plenty of Business Cards!,LeTip of Newtown,1,40.2236,-74.7641,290716,https://www.meetup.com/LeTip-of-Newtown/events/275744907,PA,Yardley,82 East Afton Avenue,https://www.google.com/maps/search/?api=1&query=82+East+Afton+Avenue%2C+Yardley%2C+PA%2C+19067%2C+us,40.24454,-74.83671,"""82 East Afton Avenue,Yardley,PA"""
29,NJ,Trenton,How to Get Started In Real Estate and Stock Option Investing,Crazy Real Estate Investors,4,40.2236,-74.7641,290716,https://www.meetup.com/Crazy-Real-Estate-Investors/events/275766407,PA,Langhorne,108 Corporate Dr,https://www.google.com/maps/search/?api=1&query=108+Corporate+Dr%2C+Langhorne%2C+PA%2C+us,40.83636,-75.701258,"""108 Corporate Dr,Langhorne,PA"""
30,NJ,Trenton,Free Hard Networking Group w/ 26 Members - Looking For New Members,Lower Bucks Business Connections,1,40.2236,-74.7641,290716,https://www.meetup.com/Lower-Bucks-Business-Connections/events/275723447,PA,Langhorne,1262 Wood Lane  Ste 106/107,https://www.google.com/maps/search/?api=1&query=1262+Wood+Lane++Ste+106%2F107%2C+Langhorne%2C+PA%2C+us,40.848217,-75.707393,"""1262 Wood Lane  Ste 106/107,Langhorne,PA"""
32,NJ,Trenton,Letip of Newtown,Philly Biz Connects,1,40.2236,-74.7641,290716,https://www.meetup.com/phillybizconnects/events/275744894,PA,Yardley,82 E Afton Ave,https://www.google.com/maps/search/?api=1&query=40.244896%2C-74.836647,40.24454,-74.83671,"""82 E Afton Ave,Yardley,PA"""
34,NJ,Newark,Hoboken Critical Mass Light Up The Night Bike Tour,Hoboken Bicycling Meetup,9,40.7245,-74.1725,282011,https://www.meetup.com/Hoboken-Bicycling-Meetup/events/275420479,NJ,Hoboken,901 Park Ave,https://www.google.com/maps/search/?api=1&query=901+Park+Ave%2C+901+Park+Ave%2C+Hoboken%2C+NJ%2C+07030%2C+us&query_place_id=ChIJyS2VDmJXwokR-pkTQhFPc6Q,40.7433066,-74.0323752,"""901 Park Ave,Hoboken,NJ"""
36,NJ,Newark,Critical Mass NYC / NJ - January 2021,Critical Mass NYC / NJ,3,40.7245,-74.1725,282011,https://www.meetup.com/Critical-Mass-NYC-NJ/events/274151373,NJ,Hoboken,901 Park Ave,https://www.google.com/maps/search/?api=1&query=40.747830%2C-74.030460,40.7433066,-74.0323752,"""901 Park Ave,Hoboken,NJ"""
37,NJ,Newark,Brooklyn Bridge & Brooklyn Promenade Walk,Shorewalkers,22,40.7245,-74.1725,282011,https://www.meetup.com/shorewalkers-members-only/events/275776633,NY,New York,55 Church St,https://www.google.com/maps/search/?api=1&query=Millennium+Hilton+New+York+Downtown%2C+55+Church+St%2C+New+York%2C+NY%2C+10007%2C+us&query_place_id=ChIJh-L3uxlawokRDwLmkKwLIvY,40.7127281,-74.0060152,"""55 Church St,New York,NY"""
38,NJ,Newark,"Newark Community Cycling Group Ride. This is a non-drop ride, discover NEWARK ",Outdoor Adventure Sports,1,40.7245,-74.1725,282011,https://www.meetup.com/outdooradventuresports/events/275756314,NJ,Newark,14 Rector Street,https://www.google.com/maps/search/?api=1&query=14+Rector+Street%2C+Newark%2C+nj%2C+07102%2C+us,40.740752,-74.168407,"""14 Rector Street,Newark,NJ"""
39,NJ,Newark,Monthly meeting and Trip planning,New York Caving Meetup Group,6,40.7245,-74.1725,282011,https://www.meetup.com/New-York-Cavers/events/275376807,NY,New York,  569 Hudson St,https://www.google.com/maps/search/?api=1&query=40.735905%2C-74.006180,40.735845,-74.00596,"""  569 Hudson St,New York,NY"""
40,NJ,Newark,Hudson Walkway Loop/Reese Park Social Distancing 6 Mile Hike/Walk,"New York Hikes, Happy Hours & Outdoor Adventures",1,40.7245,-74.1725,282011,https://www.meetup.com/New-York-Hikes-Happy-Hours-and-Outdoor-Adventures/events/275555724,NY,New York,Your Guide will meet you when you get out from the train at Poughkeepsie,https://www.google.com/maps/search/?api=1&query=Your+Guide+will+meet+you+when+you+get+out+from+the+train+at+Poughkeepsie%2C+New+York%2C+NY%2C+us,40.709686,-74.011674,"""Your Guide will meet you when you get out from the train at Poughkeepsie,New York,NY"""
41,NJ,Newark,Urban Athletics: Ride to Fort Totten,"NYC Chill Hiking, Camping, and Other Activities",11,40.7245,-74.1725,282011,https://www.meetup.com/NYC-Chill-Hiking-Camping-Meetup/events/275600105,NY,New York,27 W 24th St Suite 800B,https://www.google.com/maps/search/?api=1&query=Flatiron+Public+Plaza%2C+27+W+24th+St+Suite+800B%2C+New+York%2C+NY%2C+10010%2C+us&query_place_id=ChIJ8Yt6BKRZwokRQoQtLN9_2T8,42.7353928,-73.7132298,"""27 W 24th St Suite 800B,New York,NY"""
42,NJ,Newark,Midtown Murder Mystery Scavenger History Hunt,SINGLES TRAVEL AND ADVENTURE!,1,40.7245,-74.1725,282011,https://www.meetup.com/SINGLES-TRAVEL-AND-ADVENTURE/events/275554958,NY,New York,Broadway Entrance at 34th/35th,https://www.google.com/maps/search/?api=1&query=Broadway+Entrance+at+34th%2F35th%2C+New+York%2C+NY%2C+us,40.857977,-73.930904,"""Broadway Entrance at 34th/35th,New York,NY"""
43,NJ,Newark,Eagle Rock Reservation bring a newbie beginner 4-5 miles,Trail Shrinks,24,40.7245,-74.1725,282011,https://www.meetup.com/trailshrinks/events/275798719,NJ,West Orange,Crest Dr,https://www.google.com/maps/search/?api=1&query=40.810840%2C-74.234490,40.8033942,-74.2382416,"""Crest Dr,West Orange,NJ"""
46,NJ,Newark,Drive-In Movie Night Series,JCFamilies,8,40.7245,-74.1725,282011,https://www.meetup.com/JCFamilies/events/275750360,NJ,Jersey City,107 Morgan St,https://www.google.com/maps/search/?api=1&query=107+Morgan+St%2C+107+Morgan+St%2C+Jersey+City%2C+NJ%2C+07302%2C+us&query_place_id=ChIJdRGHOaxQwokRBoZblxPrgUM,40.71979,-74.038622,"""107 Morgan St,Jersey City,NJ"""
47,NJ,Newark,Bayonne Book Club Meetup - Bad Monkey by Carl Hiaasen,Bayonne Book Club - The Life I Left Behind by Colette McBeth,1,40.7245,-74.1725,282011,https://www.meetup.com/Bayonne-Book-Club/events/275758392,NJ,Bayonne,1075 Broadway,https://www.google.com/maps/search/?api=1&query=1075+Broadway%2C+Bayonne%2C+NJ%2C+07002%2C+us,40.6667697,-74.1154202,"""1075 Broadway,Bayonne,NJ"""
48,NJ,Newark,West Orange Breastfeeding Support Group,West Orange New Moms Meetup,1,40.7245,-74.1725,282011,https://www.meetup.com/West-Orange-New-Moms-Meetup/events/275746658,NJ,West Orange,253 Main St,https://www.google.com/maps/search/?api=1&query=Whole+Mother+Village%2C+253+Main+St%2C+West+Orange%2C+NJ%2C+07052%2C+us&query_place_id=ChIJyRTwoY-rw4kRmMcDHSlT4_8,40.7987113,-74.2390353,"""253 Main St,West Orange,NJ"""
49,NJ,Newark,Prenatal Yoga and Meditation,West Orange Pregnancy Meetup,1,40.7245,-74.1725,282011,https://www.meetup.com/West-Orange-Pregnancy-Meetup/events/275737290,NJ,West Orange,253 Main St,https://www.google.com/maps/search/?api=1&query=Whole+Mother+Village%2C+253+Main+St%2C+West+Orange%2C+NJ%2C+07052%2C+us&query_place_id=ChIJyRTwoY-rw4kRmMcDHSlT4_8,40.7987113,-74.2390353,"""253 Main St,West Orange,NJ"""
50,NJ,Newark,Storytime at Columbus Library,Midtown Mamas,0,40.7245,-74.1725,282011,https://www.meetup.com/Midtown-Mamas/events/275726908,NY,New York,742 10th Ave (between 50 and 51 Sts.,https://www.google.com/maps/search/?api=1&query=742+10th+Ave+%28between+50+and+51+Sts.%2C+New+York%2C+NY%2C+us,40.766684,-73.996493,"""742 10th Ave (between 50 and 51 Sts.,New York,NY"""
51,NJ,Newark,Annual MLK Day Reflection Hike,HIKEOLUTION,22,40.7245,-74.1725,282011,https://www.meetup.com/HIKEOLUTION/events/275723348,NJ,Maplewood,64 Cherry Ln,https://www.google.com/maps/search/?api=1&query=40.755500%2C-74.291405,40.731729,-74.245658,"""64 Cherry Ln,Maplewood,NJ"""
