event_name,group_name,attendees,venue_event_link,event_state,event_city,event_street,Google_Map_Link,event_lat,event_lng,address,region_id
THURSDAY AFTERNOON AEROBIC HIKE ,Washington Crossing Park Association of NJ,8,https://www.meetup.com/washingtoncrossingstatepark/events/275752986,NJ,Titusville,355 Washington Crossing Pennington Rd.,https://www.google.com/maps/search/api=1&query=40.313763%2C-74.862940,40.309223,-74.846391,"355 Washington Crossing Pennington Rd.,Titusville,NJ",226
Fly-In at Ellisdale Fields,NJ Drone User Group,1,https://www.meetup.com/NJ-Dug/events/275376752,NJ,Chesterfield ,410 Ellisdale Road,https://www.google.com/maps/search/api=1&query=40.145592%2C-74.635338,40.140632,-74.6292,"410 Ellisdale Road,Chesterfield ,NJ",219
SMART RECOVERY at LifeBack,S.M.A.R.T. Recovery at LifeBack,1,https://www.meetup.com/S-M-A-R-T-Recovery-at-LifeBack/events/275708707,NJ,Lawrence Township,4 Princess Rd,https://www.google.com/maps/search/api=1&query=40.285095%2C-74.709435,40.29554,-74.72036999999997,"4 Princess Rd,Lawrence Township,NJ",221
Lifeback's Helping Families Affected By Addiction,Lifeback's Helping Families Affected By Addiction,1,https://www.meetup.com/Lifebacks-Helping-Families-Affected-By-Addiction/events/275756516,NJ,Lawrence Township,4 Princess Rd,https://www.google.com/maps/search/api=1&query=40.285095%2C-74.709435,40.29554,-74.72036999999997,"4 Princess Rd,Lawrence Township,NJ",221
New! Online Zoom Yoga classes at Princeton Yoga,Princeton Yoga,1,https://www.meetup.com/Princeton-Yoga/events/275736086,NJ,Skillman,"88 Orchard Road, Princeton Area",https://www.google.com/maps/search/api=1&query=40.346752%2C-74.670860,40.416608,-74.659244,"88 Orchard Road, Princeton Area,Skillman,NJ",225
New online Zoom classes at Princeton Yoga!,PrincetonYoga,1,https://www.meetup.com/PrincetonYogaCenter/events/275773061,NJ,Skillman,"88 Orchard Road, Princeton Area",https://www.google.com/maps/search/api=1&query=88+Orchard+Road%2C+Princeton+Area%2C+Skillman%2C+NJ%2C+08540%2C+us,40.416608,-74.659244,"88 Orchard Road, Princeton Area,Skillman,NJ",225
Walk in Robbinsville - 5K ,League of Extraordinary Individuals,1,https://www.meetup.com/League-of-Extraordinary-Individuals/events/275713854,NJ,Robbinsville Twp,N Commerce Square,https://www.google.com/maps/search/api=1&query=40.219723%2C-74.627129,40.2187112,-74.6278586,"N Commerce Square,Robbinsville Twp,NJ",224
Write well and learn using Zoom to share our writing,Hamilton Creative Writing,2,https://www.meetup.com/Hamilton-Creative-Non-fiction-Writing/events/275708650,NJ,hamilton,hamilton nj,https://www.google.com/maps/search/api=1&query=40.255310%2C-74.704117,40.25536629999999,-74.7040312,"hamilton nj,hamilton,NJ",227
Free online class sessions on learning the craft of writing and sharing our work,Lawrence Creative Writers,2,https://www.meetup.com/Lawrence-Writers-Meetup/events/275730701,NJ,Lawrence Township,Lib - 2751 Brunswick Pike at Darrah Ln Church - Rt 206 at Meadowbrook Ave,https://www.google.com/maps/search/api=1&query=40.266296%2C-74.718803,26.66667,85.5,"Lib - 2751 Brunswick Pike at Darrah Ln Church - Rt 206 at Meadowbrook Ave,Lawrence Township,NJ",221
Fiction Writers Workshop at Lawrence Library,Princeton Writing Group,1,https://www.meetup.com/Princeton-Writing-Group/events/275747313,NJ,Lawrenceville,2751 Brunswick Pike,https://www.google.com/maps/search/api=1&query=40.265938%2C-74.718552,40.2764189,-74.70610190000002,"2751 Brunswick Pike,Lawrenceville,NJ",222
