state,city,event_name,group_name,attendees,lat,lng,category,venue_event_link,event_street,Google_Map_Link,event_lat,event_lng,address
NJ,Bordentown,Winter Hike At Crystal Lake,DelawareRiverHikers,14,40.1462213,-74.7118264,Outdoors & Adventure,https://www.meetup.com/delawareriverhikers/events/275827416,2401 Axe Factory Rd,https://www.google.com/maps/search/?api=1&query=40.117200%2C-74.739640,40.116715,-74.728546,"""2401 Axe Factory Rd Bordentown, NJ"""
NJ,Titusville,THURSDAY AFTERNOON AEROBIC HIKE ,Washington Crossing Park Association of NJ,8,40.3095516,-74.8804428,Outdoors & Adventure,https://www.meetup.com/washingtoncrossingstatepark/events/275752986,355 Washington Crossing Pennington Rd.,https://www.google.com/maps/search/?api=1&query=40.313763%2C-74.862940,40.309223,-74.846391,"""355 Washington Crossing Pennington Rd. Titusville, NJ"""
NJ,Titusville,Scenic Overlook Pokadot Chicken Hike at Baldpate Mt,Hiking Around Philly,14,40.3095516,-74.8804428,Outdoors & Adventure,https://www.meetup.com/HikingAroundPhilly/events/275829756,180 Pleasant Valley Rd ,https://www.google.com/maps/search/?api=1&query=40.332250%2C-74.869000,40.750299,-75.00784,"""180 Pleasant Valley Rd  Titusville, NJ"""
NJ,Chesterfield ,Fly-In at Ellisdale Fields,NJ Drone User Group,1,40.1153966,-74.6412727,Tech,https://www.meetup.com/NJ-Dug/events/275376752,410 Ellisdale Road,https://www.google.com/maps/search/?api=1&query=40.145590%2C-74.635340,40.172748,-74.596065,"""410 Ellisdale Road Chesterfield , NJ"""
NJ,Lawrence Township,Lifeback's Helping Families Affected By Addiction,Lifeback's Helping Families Affected By Addiction,1,40.2999815,-74.7190402,Health & Wellness,https://www.meetup.com/Lifebacks-Helping-Families-Affected-By-Addiction/events/275896146,4 Princess Rd,https://www.google.com/maps/search/?api=1&query=40.285095%2C-74.709435,40.29554,-74.72037,"""4 Princess Rd Lawrence Township, NJ"""
NJ,Lawrence Township,SMART RECOVERY at LifeBack,S.M.A.R.T. Recovery at LifeBack,1,40.2999815,-74.7190402,Health & Wellness,https://www.meetup.com/S-M-A-R-T-Recovery-at-LifeBack/events/275847344,4 Princess Rd,https://www.google.com/maps/search/?api=1&query=40.285095%2C-74.709435,40.29554,-74.72037,"""4 Princess Rd Lawrence Township, NJ"""
PA,Newtown,Flying Solo Support Group,Flying Solo Support Group,1,40.6529454,-76.345043,Health & Wellness,https://www.meetup.com/meetup-group-uLdxSObt/events/275898501,25 N. Chancellor St. ,https://www.google.com/maps/search/?api=1&query=25+N.+Chancellor+St.+%2C+Newtown%2C+PA%2C+18940%2C+us,40.232371,-74.9325368,"""25 N. Chancellor St.  Newtown, PA"""
NJ,Skillman,New! Online Zoom Yoga classes at Princeton Yoga,Princeton Yoga,1,40.4201055,-74.7146049,Health & Wellness,https://www.meetup.com/Princeton-Yoga/events/275876177,"88 Orchard Road, Princeton Area",https://www.google.com/maps/search/?api=1&query=40.346752%2C-74.670860,40.416608,-74.659244,"""88 Orchard Road, Princeton Area Skillman, NJ"""
NJ,Skillman,New online Zoom classes at Princeton Yoga!,PrincetonYoga,1,40.4201055,-74.7146049,Health & Wellness,https://www.meetup.com/PrincetonYogaCenter/events/275913147,"88 Orchard Road, Princeton Area",https://www.google.com/maps/search/?api=1&query=88+Orchard+Road%2C+Princeton+Area%2C+Skillman%2C+NJ%2C+08540%2C+us,40.416608,-74.659244,"""88 Orchard Road, Princeton Area Skillman, NJ"""
NJ,Robbinsville Twp,Walk in Robbinsville - 5K ,League of Extraordinary Individuals,3,40.2238253,-74.5892843,Food & Drink,https://www.meetup.com/League-of-Extraordinary-Individuals/events/275851663,N Commerce Square,https://www.google.com/maps/search/?api=1&query=40.219723%2C-74.627129,40.2187112,-74.6278586,"""N Commerce Square Robbinsville Twp, NJ"""
PA,Langhorne,Let's meet up and sing!,BucksMont Squires of Song,1,40.1745538,-74.9226665,Music,https://www.meetup.com/BucksMont-Squires-of-Song/events/275876162,301 E. Maple Ave,https://www.google.com/maps/search/?api=1&query=40.177586%2C-74.913460,40.203881,-74.89768,"""301 E. Maple Ave Langhorne, PA"""
NJ,Hamilton,Pokemon Casual Play League,Family Fun Hobbies' Pokemon League,1,40.2070573,-74.0812506,Sci-Fi & Games,https://www.meetup.com/Family-Fun-Hobbies-Pokemon-League/events/275826741,"731 Highway 33, Suite 3",https://www.google.com/maps/search/?api=1&query=40.231483%2C-74.679085,40.210698,-74.01722,"""731 Highway 33, Suite 3 Hamilton, NJ"""
PA,Levittown ,Miniatures Melee at Lookin' for Games,Lookin’ For Games,1,40.1574174,-74.8322245,Sci-Fi & Games,https://www.meetup.com/Lookin-For-Games/events/275828332,4354 New Falls Road,https://www.google.com/maps/search/?api=1&query=4354+New+Falls+Road%2C+Levittown+%2C+PA%2C+19056%2C+us,40.1574174,-74.8322245,"""4354 New Falls Road Levittown , PA"""
NJ,Bordentown,"""Dr. UFO presents ... """,FRINGE New Jersey,3,40.1462213,-74.7118264,Beliefs,https://www.meetup.com/FRINGEnewjersey/events/275871479,18 E. Union Street ,https://www.google.com/maps/search/?api=1&query=40.143364%2C-74.707321,40.143566,-74.707891,"""18 E. Union Street  Bordentown, NJ"""
PA,Newtown,Zoom online format A Course in Miracles Circle,"Live, Love, Laugh at Soulutions of Newtown",1,40.6529454,-76.345043,Beliefs,https://www.meetup.com/Live-Love-Laugh-at-Soulutions-of-Newtown/events/275898470,126 N. State St.,https://www.google.com/maps/search/?api=1&query=40.231380%2C-74.936661,40.231052,-74.936579,"""126 N. State St. Newtown, PA"""
NJ,Hamilton Township,ONE DAY ONLY - Free One Day Pass to Grounds For Sculpture for One Member,Central Jersey 56 Plus,1,40.2041625,-74.6793244,Arts,https://www.meetup.com/CJ-56plus/events/275869354,80 Sculptors Way,https://www.google.com/maps/search/?api=1&query=40.236970%2C-74.719210,40.215482,-74.673168,"""80 Sculptors Way Hamilton Township, NJ"""
NJ,Princeton,Secrets of the Battle of Princeton: History and Nature Walk,Secrets of the Battle of Princeton Tours,20,40.3492744,-74.6592958,Arts,https://www.meetup.com/Secrets-of-the-Princeton-Battlefield-Tours/events/272652579,500 Mercer St ,https://www.google.com/maps/search/?api=1&query=40.331272%2C-74.676640,40.3492744,-74.6592958,"""500 Mercer St  Princeton, NJ"""
PA,Fairless Hills,"LBNA - FALLS, PA MEETS EVERY WEDNESDAY 12:30PM -01:30PM",Lower Bucks Networking Association Meetup Group,2,40.1795537,-74.8551644,Career & Business,https://www.meetup.com/Lower-Bucks-Networking-Association-Meetup-Group/events/275723291,980 Trenton Rd,https://www.google.com/maps/search/?api=1&query=40.187866%2C-74.828094,40.833216,-76.088718,"""980 Trenton Rd Fairless Hills, PA"""
PA,Yardley,Join us for Breakfast and bring plenty of Business Cards!,LeTip of Newtown,1,40.245664,-74.8459972,Career & Business,https://www.meetup.com/LeTip-of-Newtown/events/275884163,82 East Afton Avenue,https://www.google.com/maps/search/?api=1&query=82+East+Afton+Avenue%2C+Yardley%2C+PA%2C+19067%2C+us,40.24454,-74.83671,"""82 East Afton Avenue Yardley, PA"""
NJ,Trenton,Trenton Real Estate --- hear from talented local and national investors,Trenton Real Estate Hackers Meetup,2,40.2170575,-74.7429463,Career & Business,https://www.meetup.com/Trenton-Real-Estate-Investors-Meetup/events/275867929,"354 S Broad St,",https://www.google.com/maps/search/?api=1&query=354+S+Broad+St%2C%2C+Trenton%2C+NJ%2C+us,40.214645,-74.761001,"""354 S Broad St, Trenton, NJ"""
PA,Langhorne,Free Hard Networking Group w/ 26 Members - Looking For New Members,Lower Bucks Business Connections,1,40.1745538,-74.9226665,Career & Business,https://www.meetup.com/Lower-Bucks-Business-Connections/events/275863236,1262 Wood Lane  Ste 106/107,https://www.google.com/maps/search/?api=1&query=1262+Wood+Lane++Ste+106%2F107%2C+Langhorne%2C+PA%2C+us,40.848217,-75.707393,"""1262 Wood Lane  Ste 106/107 Langhorne, PA"""
PA,Yardley,Letip of Newtown,Philly Biz Connects,1,40.245664,-74.8459972,Career & Business,https://www.meetup.com/phillybizconnects/events/275884152,82 E Afton Ave,https://www.google.com/maps/search/?api=1&query=40.244896%2C-74.836647,40.24454,-74.83671,"""82 E Afton Ave Yardley, PA"""
