event_name,group_name,attendees,category,venue_event_link,event_street,Google_Map_Link,event_lat,event_lng,address,city_id
Winter Hike At Crystal Lake,DelawareRiverHikers,14,Outdoors & Adventure,https://www.meetup.com/delawareriverhikers/events/275827416,2401 Axe Factory Rd,https://www.google.com/maps/search/api=1&query=40.117200%2C-74.739640,40.116715,-74.728546,"2401 Axe Factory Rd Bordentown, NJ",9
THURSDAY AFTERNOON AEROBIC HIKE ,Washington Crossing Park Association of NJ,8,Outdoors & Adventure,https://www.meetup.com/washingtoncrossingstatepark/events/275752986,355 Washington Crossing Pennington Rd.,https://www.google.com/maps/search/api=1&query=40.313763%2C-74.862940,40.309223,-74.846391,"355 Washington Crossing Pennington Rd. Titusville, NJ",85
Scenic Overlook Pokadot Chicken Hike at Baldpate Mt,Hiking Around Philly,14,Outdoors & Adventure,https://www.meetup.com/HikingAroundPhilly/events/275829756,180 Pleasant Valley Rd ,https://www.google.com/maps/search/api=1&query=40.332250%2C-74.869000,40.750299,-75.00784,"180 Pleasant Valley Rd  Titusville, NJ",85
Fly-In at Ellisdale Fields,NJ Drone User Group,1,Tech,https://www.meetup.com/NJ-Dug/events/275376752,410 Ellisdale Road,https://www.google.com/maps/search/api=1&query=40.145590%2C-74.635340,40.172748,-74.596065,"410 Ellisdale Road Chesterfield , NJ",16
Lifeback's Helping Families Affected By Addiction,Lifeback's Helping Families Affected By Addiction,1,Health & Wellness,https://www.meetup.com/Lifebacks-Helping-Families-Affected-By-Addiction/events/275896146,4 Princess Rd,https://www.google.com/maps/search/api=1&query=40.285095%2C-74.709435,40.29554,-74.72036999999997,"4 Princess Rd Lawrence Township, NJ",39
SMART RECOVERY at LifeBack,S.M.A.R.T. Recovery at LifeBack,1,Health & Wellness,https://www.meetup.com/S-M-A-R-T-Recovery-at-LifeBack/events/275847344,4 Princess Rd,https://www.google.com/maps/search/api=1&query=40.285095%2C-74.709435,40.29554,-74.72036999999997,"4 Princess Rd Lawrence Township, NJ",39
Flying Solo Support Group,Flying Solo Support Group,1,Health & Wellness,https://www.meetup.com/meetup-group-uLdxSObt/events/275898501,25 N. Chancellor St. ,https://www.google.com/maps/search/api=1&query=25+N.+Chancellor+St.+%2C+Newtown%2C+PA%2C+18940%2C+us,40.232371,-74.93253680000002,"25 N. Chancellor St.  Newtown, PA",205
New! Online Zoom Yoga classes at Princeton Yoga,Princeton Yoga,1,Health & Wellness,https://www.meetup.com/Princeton-Yoga/events/275876177,"88 Orchard Road, Princeton Area",https://www.google.com/maps/search/api=1&query=40.346752%2C-74.670860,40.416608,-74.659244,"88 Orchard Road, Princeton Area Skillman, NJ",79
New online Zoom classes at Princeton Yoga!,PrincetonYoga,1,Health & Wellness,https://www.meetup.com/PrincetonYogaCenter/events/275913147,"88 Orchard Road, Princeton Area",https://www.google.com/maps/search/api=1&query=88+Orchard+Road%2C+Princeton+Area%2C+Skillman%2C+NJ%2C+08540%2C+us,40.416608,-74.659244,"88 Orchard Road, Princeton Area Skillman, NJ",79
Walk in Robbinsville - 5K ,League of Extraordinary Individuals,3,Food & Drink,https://www.meetup.com/League-of-Extraordinary-Individuals/events/275851663,N Commerce Square,https://www.google.com/maps/search/api=1&query=40.219723%2C-74.627129,40.2187112,-74.6278586,"N Commerce Square Robbinsville Twp, NJ",74
